query_id,subject_id,percent_identity,alignment_length,mismatches,gap_openings,query_start,query_end,subject_start,subject_end,evalue,bit_score,query_length,subject_length,direction,coverage,normalized_bitscore
WP_009545669.1,BDA39333.1,43.9,66,36,1,97,162,12,76,1.87e-11,54.7,286,80,crocosphaera -> ucyna,0.23076923076923078,0.8287878787878789
WP_009545670.1,BDA40236.1,23.9,213,135,9,49,252,7,201,0.000805,35.0,255,237,crocosphaera -> ucyna,0.8352941176470589,0.1643192488262911
WP_009545676.1,BDA39581.1,68.7,393,122,1,1,393,1,392,9.68e-193,534.0,393,392,crocosphaera -> ucyna,1.0,1.3587786259541985
WP_009545677.1,BDA39582.1,62.4,582,211,3,3,580,5,582,3.6799999999999997e-270,746.0,585,583,crocosphaera -> ucyna,0.9948717948717949,1.2817869415807561
WP_024750284.1,BDA39315.1,67.2,1009,331,0,1,1009,1,1009,0.0,1417.0,1024,1010,crocosphaera -> ucyna,0.9853515625,1.404360753221011
WP_009545679.1,BDA40006.1,59.1,220,90,0,1,220,1,220,1.72e-93,270.0,234,235,crocosphaera -> ucyna,0.9361702127659575,1.2272727272727273
WP_009545684.1,BDA39435.1,49.0,355,136,3,64,418,9,318,9.45e-100,296.0,420,318,crocosphaera -> ucyna,0.8452380952380952,0.8338028169014085
WP_009545688.1,BDA40326.1,29.6,169,107,4,5,171,8,166,3.48e-11,59.3,699,243,crocosphaera -> ucyna,0.24177396280400573,0.35088757396449705
WP_009545689.1,BDA40082.1,27.1,107,57,4,1021,1109,284,387,0.00047,38.9,1112,387,crocosphaera -> ucyna,0.09622302158273381,0.36355140186915885
WP_009545690.1,BDA39183.1,54.8,724,327,0,1,724,1,724,3.69e-286,798.0,727,724,crocosphaera -> ucyna,0.9958734525447043,1.1022099447513811
WP_009545692.1,BDA40243.1,58.5,164,68,0,1,164,1,164,1.09e-66,197.0,180,174,crocosphaera -> ucyna,0.9111111111111111,1.201219512195122
WP_009545698.1,BDA40255.1,57.4,822,333,3,1,817,1,810,7.59e-311,867.0,817,810,crocosphaera -> ucyna,1.0061199510403918,1.0547445255474452
WP_012361749.1,BDA39262.1,37.9,499,254,10,1,483,1,459,1.6800000000000001e-72,232.0,483,459,crocosphaera -> ucyna,1.0331262939958592,0.4649298597194389
WP_009545704.1,BDA39263.1,49.7,179,89,1,8,185,14,192,4.53e-54,166.0,185,204,crocosphaera -> ucyna,0.8774509803921569,0.9273743016759777
WP_009545705.1,BDA39899.1,22.7,406,281,11,18,408,10,397,4.06e-14,70.1,522,647,crocosphaera -> ucyna,0.6275115919629057,0.17266009852216746
WP_009545707.1,BDA39761.1,39.1,389,233,3,14,401,3,388,6.31e-95,285.0,403,391,crocosphaera -> ucyna,0.9652605459057072,0.7326478149100257
WP_009545708.1,BDA39979.1,77.6,532,119,0,1,532,1,532,1.7e-317,861.0,532,532,crocosphaera -> ucyna,1.0,1.618421052631579
WP_009545709.1,BDA39978.1,53.0,198,93,0,1,198,1,198,5.88e-75,220.0,200,200,crocosphaera -> ucyna,0.99,1.1111111111111112
WP_009545711.1,BDA40345.1,71.5,214,59,1,4,217,3,214,1.63e-118,332.0,219,216,crocosphaera -> ucyna,0.9771689497716894,1.5514018691588785
WP_009545712.1,BDA40026.1,19.8,182,125,6,7,169,69,248,0.000253,37.7,337,489,crocosphaera -> ucyna,0.3721881390593047,0.20714285714285716
WP_009545715.1,BDA39322.1,58.1,296,124,0,1,296,1,296,6.9e-127,359.0,297,300,crocosphaera -> ucyna,0.9866666666666667,1.212837837837838
WP_009545719.1,BDA40132.1,94.6,221,12,0,1,221,1,221,4.79e-154,422.0,226,226,crocosphaera -> ucyna,0.9778761061946902,1.909502262443439
WP_009545720.1,BDA40131.1,92.4,198,15,0,1,198,1,198,2.51e-131,362.0,199,198,crocosphaera -> ucyna,0.9949748743718593,1.8282828282828283
WP_009545725.1,BDA39209.1,40.7,769,408,13,20,762,21,767,8.51e-166,493.0,766,772,crocosphaera -> ucyna,0.9961139896373057,0.6410923276983095
WP_009545728.1,BDA39799.1,29.7,165,93,5,38,184,36,195,3.37e-06,43.9,400,395,crocosphaera -> ucyna,0.4125,0.26606060606060605
WP_009545729.1,BDA40253.1,25.8,155,108,5,222,372,190,341,3.43e-08,50.1,400,365,crocosphaera -> ucyna,0.3875,0.3232258064516129
WP_009545731.1,BDA40016.1,36.8,68,42,1,284,351,130,196,9.82e-09,53.5,803,472,crocosphaera -> ucyna,0.08468244084682441,0.7867647058823529
WP_009545732.1,BDA40016.1,25.6,133,77,3,45,159,70,198,2.54e-05,42.0,573,472,crocosphaera -> ucyna,0.23211169284467714,0.3157894736842105
WP_009545745.1,BDA39433.1,77.7,864,191,1,1,864,1,862,0.0,1234.0,872,867,crocosphaera -> ucyna,0.9908256880733946,1.4282407407407407
WP_009545746.1,BDA39295.1,71.3,80,23,0,1,80,1,80,2.6699999999999998e-39,121.0,81,96,crocosphaera -> ucyna,0.8333333333333334,1.5125
WP_009545747.1,BDA39735.1,44.0,175,98,0,10,184,10,184,1.94e-48,152.0,203,186,crocosphaera -> ucyna,0.8620689655172413,0.8685714285714285
WP_009545749.1,BDA40152.1,86.3,930,126,1,1,930,1,929,0.0,1568.0,933,932,crocosphaera -> ucyna,0.9967845659163987,1.686021505376344
WP_009545750.1,BDA40153.1,75.5,535,130,1,1,534,1,535,4.72e-312,848.0,535,536,crocosphaera -> ucyna,0.9981343283582089,1.5850467289719625
WP_024750289.1,BDA40154.1,92.0,200,16,0,1,200,26,225,3.49e-131,363.0,200,226,crocosphaera -> ucyna,0.8849557522123894,1.815
WP_009545755.1,BDA39774.1,45.1,565,304,4,1,560,1,564,5.6699999999999996e-158,459.0,561,565,crocosphaera -> ucyna,1.0,0.8123893805309734
WP_182670735.1,BDA39773.1,77.2,587,124,2,26,603,38,623,3.24e-319,874.0,620,635,crocosphaera -> ucyna,0.9244094488188976,1.4889267461669506
WP_009545757.1,BDA39939.1,85.0,507,76,0,1,507,1,507,0.0,890.0,508,508,crocosphaera -> ucyna,0.9980314960629921,1.755424063116371
WP_009545764.1,BDA39162.1,77.4,328,74,0,1,328,1,328,1.5799999999999998e-191,526.0,342,340,crocosphaera -> ucyna,0.9590643274853801,1.603658536585366
WP_009545765.1,BDA39329.1,40.7,182,94,5,170,347,15,186,9.01e-40,135.0,351,194,crocosphaera -> ucyna,0.5185185185185185,0.7417582417582418
WP_009545766.1,BDA39522.1,25.8,267,169,12,27,275,6,261,4.47e-13,65.5,465,349,crocosphaera -> ucyna,0.5741935483870968,0.24531835205992508
WP_009545768.1,BDA39163.1,37.5,1208,749,3,17,1220,19,1224,7.119999999999999e-279,839.0,1230,1985,crocosphaera -> ucyna,0.6085642317380353,0.6945364238410596
WP_009545772.1,BDA40175.1,38.8,196,120,0,4,199,9,204,4.72e-42,137.0,209,208,crocosphaera -> ucyna,0.937799043062201,0.6989795918367347
WP_009545774.1,BDA39865.1,62.9,321,118,1,5,325,4,323,3.4800000000000004e-148,416.0,327,326,crocosphaera -> ucyna,0.981651376146789,1.2959501557632398
WP_009545775.1,BDA39864.1,79.5,263,54,0,1,263,1,263,4.52e-149,414.0,282,268,crocosphaera -> ucyna,0.9326241134751773,1.5741444866920151
WP_009545778.1,BDA39417.1,78.0,205,35,1,1,205,1,195,8.64e-117,326.0,205,195,crocosphaera -> ucyna,1.0,1.5902439024390245
WP_009545779.1,BDA39418.1,84.7,555,85,0,1,555,1,555,0.0,983.0,555,555,crocosphaera -> ucyna,1.0,1.771171171171171
WP_009545780.1,BDA39419.1,66.1,313,103,2,1,313,1,310,4.5000000000000004e-154,429.0,315,312,crocosphaera -> ucyna,0.9936507936507937,1.3706070287539935
WP_009545781.1,BDA39421.1,62.5,251,92,1,1,249,1,251,1.9e-118,335.0,261,254,crocosphaera -> ucyna,0.9616858237547893,1.3346613545816732
WP_009545784.1,BDA39603.1,64.4,278,99,0,1,278,1,278,7.4099999999999995e-140,391.0,295,279,crocosphaera -> ucyna,0.9423728813559322,1.4064748201438848
WP_009545785.1,BDA39602.1,64.6,367,128,1,9,375,9,373,2.6699999999999997e-170,476.0,377,376,crocosphaera -> ucyna,0.9734748010610079,1.2970027247956404
WP_009545786.1,BDA40326.1,25.2,123,81,3,13,135,8,119,2.6e-08,46.6,148,243,crocosphaera -> ucyna,0.5061728395061729,0.37886178861788616
WP_009545787.1,BDA40082.1,32.3,269,153,10,499,747,126,385,7.35e-25,102.0,760,387,crocosphaera -> ucyna,0.3539473684210526,0.379182156133829
WP_009545789.1,BDA39346.1,57.1,28,12,0,5,32,13,40,2.74e-05,38.1,173,185,crocosphaera -> ucyna,0.15135135135135136,1.3607142857142858
WP_009545793.1,BDA39628.1,65.9,396,135,0,11,406,10,405,2.47e-205,567.0,408,407,crocosphaera -> ucyna,0.9705882352941176,1.4318181818181819
WP_009545799.1,BDA39276.1,71.8,531,150,0,1,531,1,531,3.27e-268,736.0,532,531,crocosphaera -> ucyna,0.9981203007518797,1.3860640301318268
WP_009545800.1,BDA39675.1,27.9,362,235,7,49,400,106,451,3.26e-33,125.0,403,463,crocosphaera -> ucyna,0.7818574514038877,0.3453038674033149
WP_009545802.1,BDA40048.1,39.5,167,98,1,1,164,1,167,8.97e-29,101.0,181,186,crocosphaera -> ucyna,0.8978494623655914,0.6047904191616766
WP_041231759.1,BDA40049.1,59.3,243,98,1,8,249,6,248,4.85e-100,287.0,249,248,crocosphaera -> ucyna,0.9759036144578314,1.1810699588477367
WP_009545804.1,BDA40050.1,79.3,333,69,0,1,333,13,345,6.61e-193,530.0,335,347,crocosphaera -> ucyna,0.9596541786743515,1.5915915915915917
WP_009545805.1,BDA40051.1,78.0,123,27,0,1,123,1,123,4.7100000000000006e-70,201.0,123,123,crocosphaera -> ucyna,1.0,1.6341463414634145
WP_009545807.1,BDA39454.1,84.4,640,96,2,1,637,1,639,0.0,1011.0,637,639,crocosphaera -> ucyna,1.001564945226917,1.5796875
WP_009545808.1,BDA40323.1,22.7,1057,620,25,1,1043,9,882,2.86e-47,178.0,1060,885,crocosphaera -> ucyna,0.9971698113207547,0.1684011352885525
WP_009545811.1,BDA39453.1,27.3,165,110,6,298,455,267,428,8.48e-08,49.7,515,479,crocosphaera -> ucyna,0.32038834951456313,0.3012121212121212
WP_009545812.1,BDA39261.1,22.8,333,171,13,8,281,1,306,2.82e-07,46.2,286,322,crocosphaera -> ucyna,1.0341614906832297,0.13873873873873874
WP_009545813.1,BDA39189.1,83.3,455,76,0,8,462,2,456,1.8299999999999998e-240,660.0,462,456,crocosphaera -> ucyna,0.9848484848484849,1.4505494505494505
WP_009545816.1,BDA39835.1,50.5,289,142,1,1,289,1,288,4.12e-105,303.0,289,293,crocosphaera -> ucyna,0.9863481228668942,1.0484429065743945
WP_009545819.1,BDA40157.1,71.9,658,185,0,1,658,1,658,0.0,1019.0,659,669,crocosphaera -> ucyna,0.9835575485799701,1.5486322188449848
WP_009545828.1,BDA40331.1,73.1,260,70,0,1,260,1,260,2.4800000000000002e-145,403.0,263,265,crocosphaera -> ucyna,0.9811320754716981,1.55
WP_009545829.1,BDA40330.1,84.2,379,60,0,16,394,4,382,3.2799999999999996e-233,636.0,394,382,crocosphaera -> ucyna,0.9619289340101523,1.6781002638522426
WP_009545830.1,BDA40329.1,86.5,237,32,0,1,237,1,237,2.01e-146,404.0,238,242,crocosphaera -> ucyna,0.9793388429752066,1.7046413502109705
WP_009545831.1,BDA40328.1,63.3,147,54,0,1,147,1,147,1.6200000000000001e-59,177.0,167,148,crocosphaera -> ucyna,0.8802395209580839,1.2040816326530612
WP_009545838.1,BDA39937.1,82.0,1080,194,0,1,1080,1,1080,0.0,1771.0,1081,1081,crocosphaera -> ucyna,0.9990749306197965,1.6398148148148148
WP_009545841.1,BDA39936.1,60.4,255,101,0,1,255,1,255,8.33e-97,280.0,258,262,crocosphaera -> ucyna,0.9732824427480916,1.0980392156862746
WP_009545843.1,BDA39185.1,53.7,557,232,15,111,653,64,608,5.7999999999999994e-176,510.0,660,618,crocosphaera -> ucyna,0.843939393939394,0.9156193895870736
WP_009545846.1,BDA40209.1,77.2,661,151,0,6,666,9,669,0.0,1049.0,670,672,crocosphaera -> ucyna,0.9836309523809523,1.5869894099848714
WP_009545849.1,BDA39988.1,29.6,115,70,4,1,114,1,105,5.68e-09,48.1,136,246,crocosphaera -> ucyna,0.46747967479674796,0.4182608695652174
WP_009545850.1,BDA39850.1,87.0,694,89,1,1,694,1,693,0.0,1169.0,697,695,crocosphaera -> ucyna,0.9956958393113343,1.6844380403458212
WP_009545853.1,BDA39849.1,76.5,558,131,0,1,558,1,558,1.1e-309,844.0,559,563,crocosphaera -> ucyna,0.9911190053285968,1.5125448028673836
WP_024750295.1,BDA39191.1,75.7,70,17,0,1,70,1,70,1.5e-35,110.0,70,70,crocosphaera -> ucyna,1.0,1.5714285714285714
WP_009545860.1,BDA39663.1,35.2,273,163,4,1,259,1,273,9.630000000000001e-58,198.0,841,387,crocosphaera -> ucyna,0.32461355529131986,0.7252747252747253
WP_156922862.1,BDA39876.1,54.6,216,98,0,3,218,14,229,1.9200000000000002e-79,233.0,223,232,crocosphaera -> ucyna,0.9310344827586207,1.0787037037037037
WP_009545867.1,BDA39861.1,64.7,249,88,0,2,250,1,249,6.66e-106,303.0,254,257,crocosphaera -> ucyna,0.9688715953307393,1.216867469879518
WP_024750296.1,BDA39519.1,72.3,448,124,0,1,448,1,448,1.2100000000000001e-223,617.0,454,451,crocosphaera -> ucyna,0.986784140969163,1.3772321428571428
WP_009545877.1,BDA39518.1,66.5,257,86,0,1,257,1,257,1.0000000000000001e-129,363.0,257,257,crocosphaera -> ucyna,1.0,1.4124513618677044
WP_009545878.1,BDA39898.1,50.6,595,294,0,16,610,3,597,6.62e-217,613.0,639,597,crocosphaera -> ucyna,0.9311424100156495,1.030252100840336
WP_009545881.1,BDA40256.1,84.8,296,44,1,1,295,1,296,1.2199999999999999e-176,486.0,317,307,crocosphaera -> ucyna,0.9337539432176656,1.6418918918918919
WP_009545885.1,BDA39373.1,26.5,400,254,11,1,376,59,442,1.4699999999999999e-38,140.0,408,467,crocosphaera -> ucyna,0.8565310492505354,0.35
WP_009545886.1,BDA40005.1,66.4,357,120,0,1,357,1,357,6.46e-160,448.0,360,358,crocosphaera -> ucyna,0.9916666666666667,1.2549019607843137
WP_009545888.1,BDA40342.1,20.6,243,186,4,33,271,35,274,4.5e-06,42.4,283,284,crocosphaera -> ucyna,0.8556338028169014,0.17448559670781894
WP_009545889.1,BDA40341.1,41.8,196,114,0,67,262,45,240,1.24e-49,164.0,437,244,crocosphaera -> ucyna,0.448512585812357,0.8367346938775511
WP_012361807.1,BDA40226.1,27.2,92,64,1,5,93,3,94,1.7e-05,41.2,355,310,crocosphaera -> ucyna,0.2591549295774648,0.44782608695652176
WP_009546851.1,BDA39925.1,39.5,81,49,0,301,381,265,345,9.29e-14,67.4,412,372,crocosphaera -> ucyna,0.1966019417475728,0.8320987654320988
WP_243397404.1,BDA40227.1,30.6,160,102,4,14,166,80,237,5.1e-10,53.9,251,290,crocosphaera -> ucyna,0.5517241379310345,0.336875
WP_009546854.1,BDA40252.1,33.0,109,71,2,235,343,265,371,7.71e-13,64.3,368,391,crocosphaera -> ucyna,0.27877237851662406,0.5899082568807339
WP_009546855.1,BDA39424.1,70.0,330,93,2,1,324,1,330,7.72e-176,486.0,325,330,crocosphaera -> ucyna,1.0,1.4727272727272727
WP_009546860.1,BDA39441.1,50.5,97,46,1,6,102,2,96,1.4399999999999999e-34,110.0,106,99,crocosphaera -> ucyna,0.9150943396226415,1.134020618556701
WP_009546868.1,BDA39174.1,75.0,128,32,0,1,128,1,128,4.56e-76,217.0,130,131,crocosphaera -> ucyna,0.9770992366412213,1.6953125
WP_009546870.1,BDA39173.1,61.0,503,196,0,1,503,1,503,2.7499999999999998e-219,610.0,503,503,crocosphaera -> ucyna,1.0,1.2127236580516898
WP_009546874.1,BDA39490.1,62.6,155,56,2,1,154,1,154,1.2900000000000001e-59,177.0,155,155,crocosphaera -> ucyna,1.0,1.1419354838709677
WP_009546875.1,BDA39489.1,87.6,186,23,0,1,186,1,186,6.2e-119,330.0,186,186,crocosphaera -> ucyna,1.0,1.7741935483870968
WP_024750299.1,BDA39666.1,29.5,139,85,6,137,272,92,220,2.38e-05,40.4,307,312,crocosphaera -> ucyna,0.44551282051282054,0.2906474820143885
WP_009546877.1,BDA39476.1,76.2,383,91,0,1,383,1,383,7.359999999999999e-216,592.0,398,387,crocosphaera -> ucyna,0.9623115577889447,1.5456919060052219
WP_009546878.1,BDA39477.1,38.8,67,41,0,1,67,1,67,1.7e-12,52.4,73,70,crocosphaera -> ucyna,0.9178082191780822,0.7820895522388059
WP_009546880.1,BDA39309.1,70.4,81,24,0,4,84,3,83,5e-36,112.0,85,84,crocosphaera -> ucyna,0.9529411764705882,1.382716049382716
WP_009546881.1,BDA39310.1,70.5,95,28,0,1,95,1,95,2.49e-44,134.0,99,95,crocosphaera -> ucyna,0.9595959595959596,1.4105263157894736
WP_009546884.1,BDA39480.1,38.1,202,122,3,16,215,128,328,7.09e-41,138.0,225,339,crocosphaera -> ucyna,0.5958702064896755,0.6831683168316832
WP_009546885.1,BDA39461.1,56.7,298,129,0,1,298,1,298,2.52e-127,360.0,299,299,crocosphaera -> ucyna,0.9966555183946488,1.2080536912751678
WP_009546886.1,BDA39462.1,83.6,525,86,0,1,525,1,525,1.21e-318,863.0,525,525,crocosphaera -> ucyna,1.0,1.6438095238095238
WP_009546889.1,BDA40066.1,22.8,338,213,11,20,336,22,332,2.41e-12,63.9,486,477,crocosphaera -> ucyna,0.6954732510288066,0.18905325443786983
WP_009546890.1,BDA39939.1,36.7,49,31,0,12,60,459,507,3.57e-05,34.7,61,508,crocosphaera -> ucyna,0.09645669291338582,0.7081632653061225
WP_009546893.1,BDA39466.1,77.2,364,83,0,1,364,1,364,1.83e-219,599.0,366,367,crocosphaera -> ucyna,0.9918256130790191,1.6456043956043955
WP_009546903.1,BDA39469.1,32.8,116,74,2,35,146,44,159,3.65e-12,58.9,209,238,crocosphaera -> ucyna,0.48739495798319327,0.5077586206896552
WP_009546904.1,BDA39359.1,63.4,850,310,1,9,857,1,850,0.0,1096.0,884,855,crocosphaera -> ucyna,0.9615384615384616,1.2894117647058823
WP_009546905.1,BDA39787.1,47.5,40,21,0,1,40,1,40,1.46e-05,41.2,353,265,crocosphaera -> ucyna,0.11331444759206799,1.03
WP_009546907.1,BDA40100.1,74.5,428,109,0,1,428,1,428,4.76e-233,639.0,429,431,crocosphaera -> ucyna,0.9930394431554525,1.4929906542056075
WP_009546918.1,BDA39962.1,40.0,45,27,0,401,445,12,56,8.6e-06,38.9,496,59,crocosphaera -> ucyna,0.0907258064516129,0.8644444444444445
WP_009546921.1,BDA39792.1,75.9,719,173,0,1,719,1,719,0.0,1095.0,723,719,crocosphaera -> ucyna,0.9944674965421854,1.5229485396383866
WP_009546922.1,BDA39791.1,65.4,246,80,2,1,243,1,244,1.1000000000000001e-110,314.0,243,244,crocosphaera -> ucyna,1.0081967213114753,1.2764227642276422
WP_009546923.1,BDA39790.1,74.3,183,47,0,1,183,1,183,3.5e-103,290.0,183,183,crocosphaera -> ucyna,1.0,1.5846994535519126
WP_009546926.1,BDA39441.1,34.3,67,43,1,416,482,18,83,1.66e-08,47.8,491,99,crocosphaera -> ucyna,0.1364562118126273,0.7134328358208955
WP_009546932.1,BDA39300.1,48.8,535,255,3,1,516,1,535,1.29e-178,521.0,588,812,crocosphaera -> ucyna,0.6588669950738916,0.9738317757009346
WP_009546942.1,BDA40145.1,35.1,481,297,8,518,991,100,572,4.14e-82,273.0,995,580,crocosphaera -> ucyna,0.4834170854271357,0.5675675675675675
WP_009546948.1,BDA39192.1,71.1,90,25,1,1,90,1,89,4.09e-40,123.0,91,90,crocosphaera -> ucyna,0.989010989010989,1.3666666666666667
WP_009546949.1,BDA39822.1,56.1,155,58,3,1,154,1,146,2e-49,151.0,154,146,crocosphaera -> ucyna,1.0064935064935066,0.9741935483870968
WP_009546954.1,BDA40115.1,36.6,424,252,4,55,467,35,452,5.49e-85,265.0,485,464,crocosphaera -> ucyna,0.8742268041237113,0.625
WP_009546956.1,BDA39841.1,73.1,346,93,0,1,346,1,346,2.8799999999999998e-92,275.0,347,347,crocosphaera -> ucyna,0.9971181556195965,0.7947976878612717
WP_008274085.1,BDA39768.1,54.8,42,19,0,5,46,12,53,7.08e-14,54.3,47,53,crocosphaera -> ucyna,0.7924528301886793,1.2928571428571427
WP_198019428.1,BDA40244.1,82.0,100,18,0,2,101,4,103,9.58e-51,151.0,101,103,crocosphaera -> ucyna,0.970873786407767,1.51
WP_009546969.1,BDA40245.1,69.7,208,62,1,1,208,1,207,9.57e-92,263.0,208,207,crocosphaera -> ucyna,1.0,1.2644230769230769
WP_009546970.1,BDA40246.1,82.9,193,33,0,1,193,1,193,9.79e-112,313.0,196,197,crocosphaera -> ucyna,0.9796954314720813,1.621761658031088
WP_009546971.1,BDA40247.1,86.6,372,50,0,1,372,1,372,2.97e-237,645.0,372,372,crocosphaera -> ucyna,1.0,1.7338709677419355
WP_009546974.1,BDA39203.1,62.8,296,108,1,4,297,1,296,5.78e-134,377.0,300,301,crocosphaera -> ucyna,0.9833887043189369,1.2736486486486487
WP_009546975.1,BDA40024.1,45.5,55,30,0,12,66,12,66,4.29e-15,58.9,72,70,crocosphaera -> ucyna,0.7638888888888888,1.0709090909090908
WP_009546976.1,BDA39222.1,27.0,259,138,15,184,437,35,247,8.25e-05,39.3,452,250,crocosphaera -> ucyna,0.5730088495575221,0.15173745173745173
WP_009546977.1,BDA39731.1,30.4,316,194,7,31,327,12,320,5.05e-39,136.0,328,340,crocosphaera -> ucyna,0.9294117647058824,0.43037974683544306
WP_009546978.1,BDA39204.1,75.3,328,81,0,1,328,1,328,3.88e-185,509.0,335,328,crocosphaera -> ucyna,0.9791044776119403,1.5518292682926829
WP_009546979.1,BDA39212.1,27.3,403,265,10,1090,1484,356,738,9.53e-32,129.0,1497,759,crocosphaera -> ucyna,0.26920507682030725,0.3200992555831266
WP_009546980.1,BDA39559.1,30.4,253,155,13,50,295,3,241,1.13e-11,62.4,635,459,crocosphaera -> ucyna,0.3984251968503937,0.2466403162055336
WP_009546981.1,BDA39205.1,72.4,225,62,0,1,225,1,225,2.03e-119,335.0,242,231,crocosphaera -> ucyna,0.9297520661157025,1.488888888888889
WP_009546983.1,BDA40186.1,22.9,388,246,16,487,854,110,464,2.85e-12,65.1,872,504,crocosphaera -> ucyna,0.44495412844036697,0.16778350515463916
WP_008275034.1,BDA39207.1,79.2,96,20,0,1,96,1,96,2.1099999999999998e-54,160.0,97,97,crocosphaera -> ucyna,0.9896907216494846,1.6666666666666667
WP_012361838.1,BDA39208.1,67.0,273,90,0,1,273,1,273,3.42e-137,384.0,277,274,crocosphaera -> ucyna,0.9855595667870036,1.4065934065934067
WP_279327063.1,BDA40041.1,52.0,25,12,0,3,27,16,40,4.84e-05,32.7,40,118,crocosphaera -> ucyna,0.211864406779661,1.308
WP_009546993.1,BDA39261.1,31.4,70,48,0,3,72,2,71,1.71e-06,43.5,257,322,crocosphaera -> ucyna,0.21739130434782608,0.6214285714285714
WP_009546996.1,BDA39265.1,62.3,154,58,0,1,154,1,154,5.7e-65,191.0,154,154,crocosphaera -> ucyna,1.0,1.2402597402597402
WP_009546998.1,BDA39320.1,78.3,549,119,0,1,549,1,549,1.32e-318,865.0,549,549,crocosphaera -> ucyna,1.0,1.575591985428051
WP_009546999.1,BDA39321.1,66.1,345,117,0,1,345,1,345,2.1199999999999998e-174,484.0,353,353,crocosphaera -> ucyna,0.9773371104815864,1.4028985507246376
WP_009547001.1,BDA39710.1,67.9,970,303,2,1,970,1,962,0.0,1278.0,970,962,crocosphaera -> ucyna,1.0,1.3175257731958763
WP_009547002.1,BDA39308.1,63.3,376,138,0,1,376,1,376,1.4500000000000002e-181,504.0,376,376,crocosphaera -> ucyna,1.0,1.3404255319148937
WP_009545032.1,BDA39451.1,70.2,131,38,1,1,131,1,130,2.28e-60,177.0,131,130,crocosphaera -> ucyna,1.0,1.3511450381679388
WP_009545031.1,BDA39450.1,70.6,299,88,0,1,299,1,299,2.73e-147,412.0,305,309,crocosphaera -> ucyna,0.9676375404530745,1.3779264214046822
WP_009545030.1,BDA39449.1,53.9,505,212,3,1,502,1,487,2.22e-182,516.0,502,487,crocosphaera -> ucyna,1.0059760956175299,1.0217821782178218
WP_009545029.1,BDA40119.1,27.9,104,73,1,38,141,32,133,9.3e-10,53.9,349,261,crocosphaera -> ucyna,0.2979942693409742,0.5182692307692307
WP_009545025.1,BDA39303.1,56.1,342,150,0,1,342,1,342,1.28e-127,365.0,357,349,crocosphaera -> ucyna,0.957983193277311,1.067251461988304
WP_009545022.1,BDA40098.1,54.6,778,345,4,7,779,14,788,1.0099999999999999e-288,809.0,781,788,crocosphaera -> ucyna,0.9873096446700508,1.0398457583547558
WP_009545020.1,BDA40078.1,63.3,60,22,0,41,100,42,101,3.47e-21,80.9,167,176,crocosphaera -> ucyna,0.3409090909090909,1.3483333333333334
WP_009545016.1,BDA39478.1,77.5,463,104,0,1,463,1,463,1.21e-275,749.0,463,463,crocosphaera -> ucyna,1.0,1.6177105831533478
WP_009545013.1,BDA39209.1,25.9,197,108,4,527,716,563,728,1.9e-12,66.2,936,772,crocosphaera -> ucyna,0.21047008547008547,0.33604060913705586
WP_009545012.1,BDA39184.1,45.5,545,248,13,62,574,71,598,3.41e-134,399.0,574,598,crocosphaera -> ucyna,0.9113712374581939,0.7321100917431193
WP_009545008.1,BDA40079.1,67.8,490,157,1,1,489,1,490,1.09e-245,676.0,490,490,crocosphaera -> ucyna,1.0,1.379591836734694
WP_009545005.1,BDA40080.1,81.3,680,122,2,1,680,1,675,0.0,1116.0,682,677,crocosphaera -> ucyna,0.9970674486803519,1.6411764705882352
WP_009545003.1,BDA39901.1,78.8,320,68,0,27,346,3,322,4.1e-178,492.0,349,324,crocosphaera -> ucyna,0.9169054441260746,1.5375
WP_009545002.1,BDA39902.1,76.7,172,40,0,1,172,1,172,5.999999999999999e-101,283.0,172,172,crocosphaera -> ucyna,1.0,1.6453488372093024
WP_009545000.1,BDA40076.1,24.9,185,123,4,5,177,11,191,2.57e-08,48.1,221,242,crocosphaera -> ucyna,0.7644628099173554,0.26
WP_009544998.1,BDA39753.1,59.4,234,95,0,13,246,17,250,6.23e-99,285.0,250,250,crocosphaera -> ucyna,0.936,1.2179487179487178
WP_024750305.1,BDA39639.1,44.4,81,45,0,1,81,1,81,2.97e-18,67.8,81,87,crocosphaera -> ucyna,0.9310344827586207,0.837037037037037
WP_009544989.1,BDA40096.1,86.7,407,51,1,1,404,5,411,3.0400000000000002e-257,698.0,404,411,crocosphaera -> ucyna,0.9902676399026764,1.714987714987715
WP_009544986.1,BDA39524.1,23.4,531,298,21,7,450,8,516,4.89e-14,69.3,474,531,crocosphaera -> ucyna,1.0,0.13050847457627118
WP_009544984.1,BDA40191.1,34.3,67,37,2,5,71,6,65,6.13e-06,38.9,238,79,crocosphaera -> ucyna,0.2815126050420168,0.5805970149253731
WP_009544976.1,BDA39373.1,77.4,465,103,1,1,465,5,467,1.1199999999999999e-277,755.0,465,467,crocosphaera -> ucyna,0.9957173447537473,1.6236559139784945
WP_243397407.1,BDA40017.1,67.6,299,97,0,3,301,29,327,1.8900000000000002e-144,405.0,313,327,crocosphaera -> ucyna,0.9143730886850153,1.354515050167224
WP_009544973.1,BDA39569.1,81.4,145,27,0,1,145,1,145,4.86e-83,236.0,146,146,crocosphaera -> ucyna,0.9931506849315068,1.6275862068965516
